term,grade,sub_grade,home_ownership,verification_status,loan_status,earliest_cr_line,new_delinq_2yrs,new_inq_last_6mths,new_pub_rec
60 months,B,B3,MORTGAGE,Verified,Fully Paid,DEC1985,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,OCT2002,Not Delinquent,No Inquiries,good
36 months,B,B4,OWN,Not Verified,Fully Paid,DEC2004,Not Delinquent,No Inquiries,good
36 months,C,C4,RENT,Verified,Fully Paid,MAY1987,Delinquent,No Inquiries,good
60 months,C,C2,MORTGAGE,Source Verified,Fully Paid,MAR1999,Not Delinquent,Low,moderate
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,FEB1984,Not Delinquent,No Inquiries,good
60 months,D,D2,RENT,Not Verified,Fully Paid,DEC1998,Not Delinquent,No Inquiries,good
36 months,D,D3,MORTGAGE,Not Verified,Fully Paid,SEP1999,Not Delinquent,No Inquiries,good
60 months,A,A5,RENT,Verified,Fully Paid,JAN1993,Delinquent,No Inquiries,good
60 months,C,C2,RENT,Not Verified,Fully Paid,JUL2001,Not Delinquent,No Inquiries,good
60 months,A,A5,RENT,Verified,Fully Paid,NOV1991,Not Delinquent,No Inquiries,good
60 months,D,D2,RENT,Verified,Fully Paid,DEC2001,Not Delinquent,Low,good
36 months,B,B5,RENT,Not Verified,Fully Paid,DEC1999,Not Delinquent,Low,moderate
36 months,C,C4,MORTGAGE,Not Verified,Fully Paid,JUN2001,Delinquent,Low,good
36 months,A,A4,RENT,Not Verified,Fully Paid,OCT2004,Not Delinquent,No Inquiries,good
36 months,B,B4,MORTGAGE,Verified,Fully Paid,JAN2006,Not Delinquent,No Inquiries,good
60 months,A,A3,MORTGAGE,Not Verified,Fully Paid,JAN1999,Not Delinquent,No Inquiries,good
36 months,E,E3,RENT,Verified,Fully Paid,AUG2004,Not Delinquent,No Inquiries,good
60 months,A,A3,MORTGAGE,Source Verified,Fully Paid,DEC1991,Not Delinquent,No Inquiries,good
60 months,B,B4,MORTGAGE,Verified,Fully Paid,DEC1988,Not Delinquent,No Inquiries,good
60 months,D,D5,RENT,Not Verified,Fully Paid,JUN2005,Not Delinquent,No Inquiries,good
36 months,C,C3,MORTGAGE,Verified,Fully Paid,JUN2005,Not Delinquent,No Inquiries,good
60 months,A,A5,MORTGAGE,Source Verified,Fully Paid,MAY2003,Not Delinquent,No Inquiries,good
60 months,C,C1,RENT,Source Verified,Fully Paid,MAY2001,Not Delinquent,No Inquiries,good
36 months,D,D2,RENT,Verified,Fully Paid,OCT2002,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,OCT1996,Not Delinquent,Low,good
60 months,A,A2,MORTGAGE,Verified,Fully Paid,NOV1999,Not Delinquent,No Inquiries,good
60 months,C,C1,MORTGAGE,Verified,Fully Paid,JAN1996,Not Delinquent,No Inquiries,good
60 months,B,B5,RENT,Source Verified,Charged Off,JAN2000,Not Delinquent,No Inquiries,good
36 months,B,B5,MORTGAGE,Not Verified,Fully Paid,AUG1990,Not Delinquent,No Inquiries,good
60 months,E,E4,RENT,Verified,Fully Paid,DEC1993,Not Delinquent,Low,good
36 months,D,D1,MORTGAGE,Source Verified,Fully Paid,DEC1992,Not Delinquent,No Inquiries,good
60 months,B,B5,MORTGAGE,Verified,Fully Paid,FEB1997,Not Delinquent,Low,good
60 months,B,B1,RENT,Source Verified,Fully Paid,SEP1996,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Source Verified,Fully Paid,OCT2003,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Source Verified,Charged Off,JUL2002,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Source Verified,Fully Paid,OCT2005,Not Delinquent,Low,good
60 months,B,B5,RENT,Source Verified,Charged Off,JAN1996,Not Delinquent,No Inquiries,good
36 months,B,B1,MORTGAGE,Verified,Fully Paid,NOV1989,Not Delinquent,No Inquiries,good
36 months,E,E2,MORTGAGE,Not Verified,Fully Paid,NOV2006,Not Delinquent,No Inquiries,good
60 months,B,B4,MORTGAGE,Verified,Fully Paid,MAR1993,Not Delinquent,Low,good
36 months,B,B5,RENT,Source Verified,Fully Paid,OCT2004,Not Delinquent,No Inquiries,good
36 months,A,A5,MORTGAGE,Verified,Fully Paid,JAN1997,Not Delinquent,Low,good
36 months,C,C2,MORTGAGE,Source Verified,Fully Paid,JUL2002,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Not Verified,Fully Paid,OCT2001,Not Delinquent,No Inquiries,good
36 months,A,A2,MORTGAGE,Source Verified,Fully Paid,JAN1999,Not Delinquent,Low,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,OCT1998,Not Delinquent,No Inquiries,good
36 months,C,C5,RENT,Verified,Fully Paid,AUG2007,Not Delinquent,Low,good
36 months,B,B4,MORTGAGE,Not Verified,Fully Paid,MAY1995,Delinquent,Low,good
36 months,B,B2,RENT,Source Verified,Fully Paid,JUN2005,Not Delinquent,Low,good
36 months,A,A5,RENT,Verified,Fully Paid,AUG1997,Not Delinquent,No Inquiries,good
60 months,A,A4,OWN,Source Verified,Charged Off,AUG1999,Not Delinquent,No Inquiries,good
36 months,D,D1,RENT,Verified,Charged Off,APR1990,Not Delinquent,Low,good
60 months,C,C2,MORTGAGE,Not Verified,Charged Off,OCT1998,Not Delinquent,Low,good
36 months,B,B1,RENT,Verified,Fully Paid,OCT2005,Not Delinquent,Low,good
36 months,C,C3,OWN,Not Verified,Fully Paid,JUN1997,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Source Verified,Fully Paid,JUN1991,Not Delinquent,Low,good
60 months,B,B5,MORTGAGE,Verified,Fully Paid,JUL2004,Not Delinquent,High,good
36 months,B,B3,OWN,Not Verified,Fully Paid,JAN2002,Not Delinquent,Low,good
36 months,B,B4,MORTGAGE,Verified,Fully Paid,FEB1984,Not Delinquent,Low,good
36 months,B,B3,MORTGAGE,Verified,Fully Paid,JUL1981,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,AUG1998,Not Delinquent,Low,good
36 months,A,A5,OWN,Source Verified,Fully Paid,APR1970,Not Delinquent,High,good
36 months,A,A5,RENT,Not Verified,Fully Paid,DEC1997,Not Delinquent,Low,good
36 months,B,B2,RENT,Not Verified,Fully Paid,APR1988,Delinquent,Low,good
36 months,A,A5,RENT,Not Verified,Fully Paid,FEB2006,Not Delinquent,Low,good
60 months,E,E2,RENT,Not Verified,Fully Paid,JUN1994,Not Delinquent,No Inquiries,good
60 months,A,A3,MORTGAGE,Not Verified,Fully Paid,MAR1998,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Source Verified,Fully Paid,NOV1995,Not Delinquent,Low,moderate
36 months,B,B5,RENT,Source Verified,Fully Paid,FEB1998,Not Delinquent,No Inquiries,good
60 months,A,A5,RENT,Verified,Fully Paid,APR2001,Not Delinquent,No Inquiries,good
36 months,A,A2,MORTGAGE,Verified,Fully Paid,MAR1978,Not Delinquent,No Inquiries,good
60 months,E,E3,RENT,Source Verified,Charged Off,FEB2002,Not Delinquent,Low,good
60 months,B,B5,RENT,Source Verified,Fully Paid,FEB2000,Delinquent,Low,good
36 months,A,A5,MORTGAGE,Not Verified,Fully Paid,SEP1997,Not Delinquent,Low,good
36 months,B,B3,RENT,Not Verified,Charged Off,AUG2002,Delinquent,Low,good
36 months,A,A4,RENT,Not Verified,Fully Paid,NOV1995,Not Delinquent,No Inquiries,good
60 months,B,B3,MORTGAGE,Not Verified,Fully Paid,OCT1995,Not Delinquent,No Inquiries,good
60 months,F,F2,MORTGAGE,Verified,Fully Paid,JUN1999,Not Delinquent,Low,good
36 months,A,A4,RENT,Not Verified,Fully Paid,JAN2006,Not Delinquent,No Inquiries,good
36 months,E,E3,RENT,Not Verified,Charged Off,SEP2007,Not Delinquent,Low,good
60 months,A,A3,MORTGAGE,Not Verified,Fully Paid,JUN1993,Not Delinquent,Low,good
60 months,D,D4,RENT,Source Verified,Fully Paid,DEC1996,Not Delinquent,Low,good
60 months,A,A5,MORTGAGE,Verified,Fully Paid,APR2001,Not Delinquent,Low,good
36 months,E,E2,OWN,Not Verified,Fully Paid,SEP1987,Not Delinquent,Low,good
36 months,C,C1,RENT,Not Verified,Fully Paid,NOV1997,Not Delinquent,Low,good
36 months,A,A3,MORTGAGE,Verified,Fully Paid,JAN1996,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Source Verified,Fully Paid,NOV2002,Not Delinquent,High,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,NOV1990,Delinquent,Low,good
60 months,A,A5,RENT,Not Verified,Fully Paid,JAN2001,Not Delinquent,Low,good
36 months,A,A5,MORTGAGE,Verified,Fully Paid,DEC1984,Not Delinquent,Low,good
60 months,B,B3,OWN,Source Verified,Charged Off,OCT1984,Not Delinquent,Low,good
36 months,B,B2,RENT,Not Verified,Fully Paid,AUG2005,Not Delinquent,Low,good
36 months,B,B3,MORTGAGE,Not Verified,Fully Paid,FEB1987,Not Delinquent,No Inquiries,good
60 months,A,A5,RENT,Not Verified,Fully Paid,APR2005,Not Delinquent,Low,good
36 months,B,B5,RENT,Not Verified,Fully Paid,OCT2002,Delinquent,No Inquiries,good
36 months,B,B3,RENT,Verified,Fully Paid,APR2004,Not Delinquent,No Inquiries,good
60 months,B,B5,RENT,Source Verified,Charged Off,JAN2001,Not Delinquent,Low,good
60 months,D,D3,RENT,Verified,Fully Paid,MAR2002,Not Delinquent,Low,good
36 months,B,B4,MORTGAGE,Source Verified,Fully Paid,AUG1994,Not Delinquent,Low,good
60 months,A,A5,MORTGAGE,Source Verified,Charged Off,MAY2001,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Source Verified,Fully Paid,JUN2001,Not Delinquent,No Inquiries,moderate
60 months,F,F1,MORTGAGE,Verified,Fully Paid,MAY1994,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Source Verified,Fully Paid,JUN1998,Not Delinquent,No Inquiries,good
60 months,D,D4,MORTGAGE,Verified,Charged Off,AUG1998,Not Delinquent,Low,good
36 months,D,D1,RENT,Verified,Fully Paid,JUL2007,Not Delinquent,No Inquiries,good
60 months,A,A5,MORTGAGE,Verified,Fully Paid,FEB1990,Not Delinquent,No Inquiries,good
36 months,D,D2,MORTGAGE,Source Verified,Fully Paid,MAY1990,Not Delinquent,Low,good
60 months,D,D4,MORTGAGE,Not Verified,Fully Paid,APR1994,Not Delinquent,Low,good
36 months,B,B5,MORTGAGE,Verified,Fully Paid,NOV1983,Not Delinquent,Low,good
60 months,A,A5,OWN,Source Verified,Fully Paid,AUG1980,Delinquent,No Inquiries,good
60 months,B,B5,MORTGAGE,Verified,Fully Paid,MAY1997,Not Delinquent,No Inquiries,good
36 months,C,C2,RENT,Source Verified,Fully Paid,AUG2002,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Not Verified,Charged Off,JUL1995,Not Delinquent,No Inquiries,good
36 months,A,A2,MORTGAGE,Verified,Fully Paid,FEB1986,Not Delinquent,Low,good
60 months,A,A3,RENT,Source Verified,Fully Paid,NOV2003,Not Delinquent,No Inquiries,good
36 months,C,C4,MORTGAGE,Verified,Fully Paid,MAY1989,Not Delinquent,Low,good
60 months,E,E1,RENT,Source Verified,Fully Paid,JUN1998,Not Delinquent,No Inquiries,good
36 months,B,B3,MORTGAGE,Verified,Fully Paid,MAR1996,Not Delinquent,Low,good
36 months,A,A2,RENT,Not Verified,Fully Paid,AUG2002,Not Delinquent,No Inquiries,good
36 months,E,E1,RENT,Not Verified,Fully Paid,JUL1996,Not Delinquent,Low,good
36 months,B,B3,MORTGAGE,Source Verified,Fully Paid,NOV2003,Not Delinquent,Low,good
36 months,A,A4,RENT,Not Verified,Fully Paid,DEC2001,Not Delinquent,No Inquiries,good
36 months,A,A2,RENT,Source Verified,Fully Paid,JUL1999,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Source Verified,Fully Paid,NOV1996,Not Delinquent,Low,good
36 months,C,C3,RENT,Source Verified,Fully Paid,OCT1999,Delinquent,Low,good
60 months,B,B4,MORTGAGE,Verified,Fully Paid,AUG1990,Not Delinquent,Low,good
36 months,C,C1,RENT,Not Verified,Fully Paid,JAN1995,Delinquent,No Inquiries,good
60 months,B,B1,MORTGAGE,Source Verified,Fully Paid,NOV1977,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,AUG1998,Not Delinquent,No Inquiries,good
36 months,D,D1,MORTGAGE,Verified,Fully Paid,SEP1997,Not Delinquent,Low,good
36 months,A,A3,MORTGAGE,Source Verified,Fully Paid,MAY2000,Not Delinquent,Low,good
60 months,A,A3,MORTGAGE,Verified,Fully Paid,FEB1994,Not Delinquent,Low,good
60 months,E,E3,MORTGAGE,Verified,Fully Paid,NOV2006,Not Delinquent,Low,good
36 months,A,A5,MORTGAGE,Source Verified,Fully Paid,AUG2001,Not Delinquent,Low,good
60 months,A,A4,RENT,Verified,Charged Off,JUN2000,Not Delinquent,Low,good
60 months,B,B5,MORTGAGE,Source Verified,Fully Paid,NOV2002,Not Delinquent,Low,good
36 months,C,C4,MORTGAGE,Verified,Fully Paid,JAN2000,Not Delinquent,No Inquiries,good
36 months,C,C4,MORTGAGE,Not Verified,Fully Paid,JAN1993,Delinquent,Low,good
60 months,B,B1,MORTGAGE,Source Verified,Fully Paid,JUL2000,Not Delinquent,No Inquiries,good
60 months,E,E2,RENT,Verified,Fully Paid,JUL1994,Not Delinquent,Low,good
60 months,A,A5,MORTGAGE,Source Verified,Fully Paid,DEC1996,Not Delinquent,No Inquiries,good
60 months,A,A5,MORTGAGE,Verified,Fully Paid,SEP1995,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,JUL1985,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Verified,Fully Paid,JUN1987,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Verified,Fully Paid,MAY1994,Not Delinquent,Low,good
36 months,E,E1,RENT,Source Verified,Fully Paid,JAN2007,Delinquent,No Inquiries,good
36 months,C,C3,RENT,Source Verified,Fully Paid,MAR2006,Not Delinquent,No Inquiries,good
36 months,A,A3,RENT,Not Verified,Fully Paid,APR2004,Not Delinquent,No Inquiries,good
60 months,B,B1,MORTGAGE,Verified,Fully Paid,DEC2001,Not Delinquent,No Inquiries,good
36 months,D,D2,RENT,Source Verified,Charged Off,APR2006,Not Delinquent,Low,good
36 months,A,A5,RENT,Source Verified,Fully Paid,NOV2000,Not Delinquent,Low,good
60 months,A,A3,MORTGAGE,Not Verified,Fully Paid,DEC1990,Not Delinquent,No Inquiries,good
60 months,E,E3,RENT,Not Verified,Fully Paid,FEB2007,Not Delinquent,Low,good
36 months,A,A5,RENT,Verified,Charged Off,APR1996,Not Delinquent,No Inquiries,moderate
36 months,C,C5,RENT,Source Verified,Fully Paid,MAR1995,Not Delinquent,Low,moderate
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,JUN1999,Not Delinquent,Low,good
36 months,C,C5,RENT,Source Verified,Fully Paid,JAN2003,Not Delinquent,No Inquiries,good
36 months,A,A5,MORTGAGE,Source Verified,Fully Paid,JUL1998,Not Delinquent,Low,good
60 months,B,B4,MORTGAGE,Verified,Fully Paid,DEC2003,Not Delinquent,Low,good
60 months,A,A5,MORTGAGE,Verified,Fully Paid,JUL1988,Not Delinquent,No Inquiries,good
60 months,B,B1,RENT,Not Verified,Charged Off,DEC1993,Not Delinquent,No Inquiries,good
60 months,B,B4,RENT,Verified,Fully Paid,JUL1986,Not Delinquent,No Inquiries,good
36 months,A,A5,MORTGAGE,Verified,Fully Paid,DEC1990,Not Delinquent,Low,good
36 months,C,C5,MORTGAGE,Verified,Fully Paid,APR2001,Not Delinquent,Low,good
60 months,F,F2,RENT,Source Verified,Fully Paid,OCT1989,Not Delinquent,Low,good
60 months,B,B3,RENT,Source Verified,Fully Paid,JAN2003,Not Delinquent,No Inquiries,good
60 months,A,A5,RENT,Source Verified,Fully Paid,SEP1998,Not Delinquent,Low,good
60 months,C,C1,RENT,Verified,Charged Off,MAY2005,Not Delinquent,Low,good
36 months,A,A3,MORTGAGE,Not Verified,Fully Paid,FEB1990,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Not Verified,Fully Paid,OCT2001,Not Delinquent,Low,good
36 months,B,B5,MORTGAGE,Source Verified,Fully Paid,FEB2003,Not Delinquent,No Inquiries,good
60 months,A,A3,RENT,Verified,Fully Paid,AUG1998,Not Delinquent,No Inquiries,good
36 months,B,B5,RENT,Not Verified,Fully Paid,NOV2004,Delinquent,No Inquiries,good
36 months,A,A2,OWN,Not Verified,Fully Paid,JUL1988,Not Delinquent,No Inquiries,good
36 months,C,C4,RENT,Source Verified,Fully Paid,NOV2000,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Not Verified,Fully Paid,JUL2000,Not Delinquent,No Inquiries,good
36 months,C,C4,MORTGAGE,Source Verified,Fully Paid,JUN1999,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Verified,Fully Paid,SEP1999,Not Delinquent,Low,good
36 months,B,B2,RENT,Source Verified,Fully Paid,DEC2003,Not Delinquent,No Inquiries,good
36 months,C,C2,RENT,Not Verified,Fully Paid,AUG1998,Not Delinquent,No Inquiries,good
36 months,C,C5,RENT,Verified,Charged Off,APR2005,Not Delinquent,Low,good
60 months,B,B1,MORTGAGE,Verified,Fully Paid,MAY1996,Not Delinquent,Low,moderate
36 months,D,D2,RENT,Source Verified,Fully Paid,JUL2007,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Verified,Fully Paid,JAN1993,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Verified,Charged Off,DEC1996,Not Delinquent,Low,good
36 months,A,A3,RENT,Verified,Fully Paid,OCT1997,Not Delinquent,No Inquiries,good
36 months,A,A5,MORTGAGE,Source Verified,Fully Paid,JUL1995,Not Delinquent,Low,good
60 months,E,E4,RENT,Not Verified,Charged Off,APR2007,Delinquent,Low,good
36 months,C,C1,RENT,Source Verified,Charged Off,APR2000,Not Delinquent,Low,moderate
36 months,A,A2,RENT,Source Verified,Fully Paid,DEC2002,Not Delinquent,No Inquiries,good
36 months,C,C5,RENT,Source Verified,Fully Paid,JUL2000,Delinquent,No Inquiries,good
36 months,C,C1,MORTGAGE,Source Verified,Fully Paid,APR1986,Not Delinquent,No Inquiries,good
60 months,C,C1,MORTGAGE,Verified,Fully Paid,JUN1990,Not Delinquent,Low,good
36 months,B,B3,RENT,Verified,Fully Paid,MAY2000,Not Delinquent,Low,good
36 months,A,A1,RENT,Not Verified,Fully Paid,JUL1991,Not Delinquent,No Inquiries,good
60 months,A,A2,RENT,Not Verified,Fully Paid,SEP1992,Not Delinquent,Low,good
60 months,D,D5,MORTGAGE,Verified,Fully Paid,JAN1994,Not Delinquent,Low,good
36 months,D,D1,RENT,Verified,Fully Paid,NOV1999,Not Delinquent,No Inquiries,good
36 months,C,C4,OWN,Source Verified,Fully Paid,JUN2000,Not Delinquent,No Inquiries,good
36 months,A,A3,OWN,Source Verified,Fully Paid,AUG2005,Not Delinquent,No Inquiries,good
60 months,B,B5,OWN,Not Verified,Fully Paid,JAN1992,Not Delinquent,Low,good
36 months,D,D4,MORTGAGE,Verified,Fully Paid,NOV2001,Not Delinquent,Low,good
36 months,B,B3,MORTGAGE,Source Verified,Charged Off,MAR1999,Not Delinquent,Low,good
36 months,A,A2,OWN,Not Verified,Fully Paid,NOV1996,Not Delinquent,Low,good
36 months,B,B3,RENT,Source Verified,Fully Paid,MAY2001,Not Delinquent,No Inquiries,moderate
36 months,B,B3,RENT,Source Verified,Fully Paid,MAR1998,Not Delinquent,No Inquiries,good
60 months,A,A2,MORTGAGE,Not Verified,Fully Paid,JUL1984,Not Delinquent,Low,good
36 months,B,B4,RENT,Source Verified,Fully Paid,FEB2005,Not Delinquent,No Inquiries,good
36 months,C,C1,MORTGAGE,Not Verified,Fully Paid,SEP1997,Not Delinquent,Low,good
36 months,C,C5,RENT,Not Verified,Fully Paid,APR1995,Delinquent,No Inquiries,moderate
60 months,B,B5,OWN,Source Verified,Fully Paid,NOV2000,Not Delinquent,Low,good
36 months,C,C5,RENT,Source Verified,Fully Paid,FEB2006,Not Delinquent,No Inquiries,good
36 months,B,B4,MORTGAGE,Source Verified,Fully Paid,AUG2007,Not Delinquent,No Inquiries,good
60 months,D,D5,MORTGAGE,Verified,Fully Paid,SEP2003,Not Delinquent,Low,good
60 months,D,D2,RENT,Source Verified,Charged Off,MAR1990,Not Delinquent,Low,good
36 months,D,D4,RENT,Verified,Fully Paid,JAN1994,Not Delinquent,Low,moderate
60 months,C,C2,MORTGAGE,Not Verified,Charged Off,AUG2005,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Source Verified,Fully Paid,JUN1999,Not Delinquent,No Inquiries,good
60 months,A,A3,OWN,Source Verified,Fully Paid,OCT1998,Not Delinquent,Low,good
36 months,D,D1,RENT,Source Verified,Fully Paid,OCT2006,Not Delinquent,Low,good
60 months,C,C2,MORTGAGE,Verified,Charged Off,DEC1994,Not Delinquent,No Inquiries,good
36 months,B,B3,MORTGAGE,Not Verified,Fully Paid,JUL2002,Not Delinquent,No Inquiries,good
36 months,C,C5,MORTGAGE,Source Verified,Fully Paid,AUG2004,Not Delinquent,No Inquiries,good
60 months,E,E1,RENT,Source Verified,Fully Paid,OCT2005,Not Delinquent,No Inquiries,good
36 months,A,A1,RENT,Source Verified,Fully Paid,JAN1995,Not Delinquent,No Inquiries,good
36 months,A,A3,RENT,Not Verified,Fully Paid,APR1996,Not Delinquent,Low,good
36 months,B,B5,MORTGAGE,Verified,Fully Paid,JUN1993,Delinquent,No Inquiries,good
60 months,B,B1,MORTGAGE,Verified,Fully Paid,NOV1983,Not Delinquent,No Inquiries,good
36 months,B,B4,MORTGAGE,Verified,Fully Paid,JUN1989,Not Delinquent,No Inquiries,good
36 months,B,B5,MORTGAGE,Not Verified,Charged Off,AUG1998,Not Delinquent,Low,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,AUG2001,Not Delinquent,Low,good
36 months,C,C4,RENT,Not Verified,Fully Paid,MAR1992,Not Delinquent,Low,moderate
36 months,A,A3,MORTGAGE,Not Verified,Fully Paid,SEP1988,Not Delinquent,No Inquiries,good
60 months,A,A2,MORTGAGE,Verified,Fully Paid,MAR1994,Not Delinquent,Low,good
36 months,B,B1,OWN,Verified,Charged Off,MAR1993,Not Delinquent,Low,good
36 months,A,A5,RENT,Verified,Fully Paid,MAY2000,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Source Verified,Fully Paid,APR2006,Not Delinquent,No Inquiries,good
36 months,C,C2,RENT,Source Verified,Fully Paid,SEP2006,Not Delinquent,Low,good
36 months,B,B1,RENT,Verified,Fully Paid,SEP2001,Not Delinquent,No Inquiries,good
36 months,E,E4,MORTGAGE,Source Verified,Charged Off,MAY1994,Not Delinquent,No Inquiries,good
60 months,E,E5,RENT,Source Verified,Fully Paid,SEP2007,Not Delinquent,Low,good
60 months,D,D3,RENT,Source Verified,Fully Paid,MAR1992,Not Delinquent,No Inquiries,good
60 months,C,C1,RENT,Verified,Fully Paid,MAR1988,Not Delinquent,Low,good
60 months,C,C3,MORTGAGE,Source Verified,Fully Paid,JUL1986,Not Delinquent,Low,good
36 months,D,D3,OWN,Source Verified,Fully Paid,JUN2000,Delinquent,No Inquiries,good
36 months,D,D3,RENT,Verified,Fully Paid,JAN1991,Not Delinquent,No Inquiries,good
36 months,D,D1,MORTGAGE,Not Verified,Fully Paid,JUN1999,Not Delinquent,Low,good
36 months,A,A5,RENT,Verified,Fully Paid,SEP2003,Not Delinquent,No Inquiries,good
36 months,D,D5,RENT,Source Verified,Fully Paid,JUL2006,Not Delinquent,No Inquiries,good
60 months,A,A5,MORTGAGE,Verified,Fully Paid,JAN2000,Not Delinquent,Low,good
36 months,A,A4,MORTGAGE,Verified,Fully Paid,NOV1986,Not Delinquent,No Inquiries,good
60 months,B,B3,OWN,Verified,Fully Paid,FEB1996,Not Delinquent,No Inquiries,good
60 months,B,B4,MORTGAGE,Verified,Fully Paid,NOV1992,Not Delinquent,No Inquiries,good
60 months,A,A5,MORTGAGE,Verified,Fully Paid,SEP1999,Not Delinquent,Low,good
60 months,C,C2,RENT,Source Verified,Fully Paid,SEP1990,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Source Verified,Fully Paid,SEP1989,Not Delinquent,No Inquiries,good
60 months,D,D2,MORTGAGE,Verified,Fully Paid,OCT2002,Not Delinquent,No Inquiries,good
60 months,B,B4,RENT,Verified,Fully Paid,MAR1988,Not Delinquent,No Inquiries,good
36 months,C,C4,RENT,Source Verified,Fully Paid,AUG2000,Not Delinquent,No Inquiries,good
36 months,A,A2,OWN,Not Verified,Fully Paid,JUL1990,Not Delinquent,No Inquiries,good
36 months,C,C2,RENT,Not Verified,Fully Paid,DEC1997,Not Delinquent,No Inquiries,good
36 months,A,A1,MORTGAGE,Verified,Fully Paid,FEB1996,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Verified,Fully Paid,FEB1994,Not Delinquent,No Inquiries,good
60 months,A,A4,RENT,Source Verified,Fully Paid,APR1991,Not Delinquent,No Inquiries,good
60 months,B,B5,MORTGAGE,Verified,Charged Off,JUN1996,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Verified,Fully Paid,JUN2005,Not Delinquent,Low,good
36 months,A,A3,MORTGAGE,Not Verified,Fully Paid,APR1994,Not Delinquent,Low,good
36 months,C,C4,MORTGAGE,Not Verified,Charged Off,DEC1998,Not Delinquent,Low,good
60 months,E,E4,RENT,Not Verified,Fully Paid,MAR2007,Not Delinquent,No Inquiries,good
60 months,C,C3,RENT,Not Verified,Fully Paid,SEP2002,Not Delinquent,No Inquiries,good
60 months,C,C2,RENT,Not Verified,Fully Paid,NOV2000,Not Delinquent,Low,bad
60 months,E,E2,MORTGAGE,Source Verified,Charged Off,JAN1998,Not Delinquent,Low,moderate
60 months,C,C2,RENT,Source Verified,Charged Off,JUN2003,Not Delinquent,No Inquiries,good
60 months,C,C2,MORTGAGE,Verified,Charged Off,DEC1976,Not Delinquent,Low,good
60 months,A,A3,MORTGAGE,Verified,Fully Paid,FEB2001,Not Delinquent,Low,good
36 months,B,B4,RENT,Verified,Fully Paid,OCT2002,Not Delinquent,No Inquiries,good
36 months,A,A3,MORTGAGE,Verified,Fully Paid,SEP1997,Not Delinquent,Low,good
60 months,B,B5,RENT,Source Verified,Charged Off,JUL2003,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,DEC1993,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Verified,Fully Paid,JUN2001,Not Delinquent,Low,good
60 months,A,A3,RENT,Not Verified,Fully Paid,NOV2000,Not Delinquent,No Inquiries,good
36 months,B,B5,RENT,Source Verified,Charged Off,OCT2005,Not Delinquent,No Inquiries,good
60 months,E,E1,MORTGAGE,Not Verified,Fully Paid,FEB1994,Not Delinquent,Low,good
60 months,C,C1,RENT,Verified,Fully Paid,NOV1999,Not Delinquent,No Inquiries,good
36 months,B,B1,MORTGAGE,Verified,Fully Paid,AUG1990,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Verified,Fully Paid,NOV2000,Not Delinquent,No Inquiries,good
36 months,A,A5,MORTGAGE,Source Verified,Fully Paid,DEC1998,Not Delinquent,No Inquiries,good
60 months,A,A3,MORTGAGE,Source Verified,Fully Paid,SEP1988,Not Delinquent,Low,good
60 months,E,E3,RENT,Not Verified,Fully Paid,DEC2003,Not Delinquent,No Inquiries,good
